Categoría,Item,Descripción,Cantidad,Unidad,Costo Unitario (EUR),Costo Total (EUR),Tiempo Estimado (horas),Costo Mano de Obra (EUR),Costo Mensual AWS (EUR),Costo Mensual Mano de Obra (EUR),Observaciones
VISUALIZACIÓN,QuickSight Setup,Configuración inicial y conexión con Athena,1,configuración,"0,00",0,4,480,0,0,Setup inicial y conexión de fuentes de datos
VISUALIZACIÓN,QuickSight Dashboards,Desarrollo de 5 dashboards interactivos,1,conjunto,"0,00",0,16,1920,0,0,Creación de dashboards con visualizaciones y KPIs
VISUALIZACIÓN,QuickSight Training,Capacitación en uso de QuickSight,1,sesión,"0,00",0,4,480,0,0,Entrenamiento para usuarios finales
REDES Y SEGURIDAD,VPC,Red virtual privada,1,vpc,"0,00",0,0,0,0,0,Gratuito
REDES Y SEGURIDAD,Subnets,Subredes públicas y privadas,4,subnets,"0,00",0,0,0,0,0,Gratuito
REDES Y SEGURIDAD,Security Groups,Grupos de seguridad para servicios,5,grupos,"0,00",0,0,0,0,0,Gratuito
REDES Y SEGURIDAD,NAT Gateway,Gateway NAT para acceso a internet,1,gateway,"35,00",35,0,0,45,0,Costo mensual fijo
REDES Y SEGURIDAD,Internet Gateway,Gateway de internet,1,gateway,"0,00",0,0,0,0,0,Gratuito
REDES Y SEGURIDAD,Route Tables,Tablas de enrutamiento,2,tablas,"0,00",0,0,0,0,0,Gratuito
MONITOREO Y LOGS,CloudWatch Logs,Almacenamiento de logs (estimado 10GB/month),10,GB,"0,50",5,0,0,5,0,Costo mensual bajo volumen
MONITOREO Y LOGS,CloudWatch Metrics,Métricas personalizadas,1,servicio,"0,30","0,3",0,0,"0,3",0,Costo mensual
MONITOREO Y LOGS,CloudWatch Alarms,Alertas y notificaciones,5,alarmas,"0,10","0,5",0,0,"0,5",0,Costo mensual bajo volumen
BACKUP Y DISASTER RECOVERY,Cross-Region Replication,Replicación S3 entre regiones,1,configuración,"0,00",0,0,0,0,0,Costo adicional por transferencia
BACKUP Y DISASTER RECOVERY,Backup Strategy,Estrategia de backup y recuperación,1,estrategia,"0,00",0,4,480,0,0,Documentación y configuración
DESARROLLO ETL,Email Monitoring Script,Script Python para monitoreo de emails,1,script,"0,00",0,12,1440,0,0,Desarrollo completo
DESARROLLO ETL,Excel Processing Script,Script Python para procesamiento Excel,1,script,"0,00",0,8,960,0,0,Desarrollo completo
DESARROLLO ETL,Spark Transformation,Script Spark para transformación de datos,1,script,"0,00",0,16,1920,0,0,Desarrollo completo
DESARROLLO ETL,Data Modeling,Modelado de datos y tablas finales,1,modelo,"0,00",0,12,1440,0,0,Diseño del modelo de datos
DESARROLLO ETL,ETL Testing,Pruebas y validación de pipelines,1,conjunto,"0,00",0,8,960,0,0,Testing completo
DESARROLLO ETL,Documentation,Documentación técnica y operacional,1,conjunto,"0,00",0,6,720,0,0,Documentación completa
INTEGRACIÓN,Email Service Integration,Integración con servicio de email,1,integración,"0,00",0,4,480,0,0,Configuración de forwarders
INTEGRACIÓN,QuickSight Integration,Integración con Athena y dashboards,1,integración,"0,00",0,6,720,0,0,Configuración de visualizaciones
INTEGRACIÓN,Monitoring Integration,Integración de monitoreo y alertas,1,integración,"0,00",0,4,480,0,0,Setup de alertas
TESTING Y VALIDACIÓN,Unit Testing,Pruebas unitarias de scripts,1,conjunto,"0,00",0,8,960,0,0,Testing de componentes
TESTING Y VALIDACIÓN,Integration Testing,Pruebas de integración,1,conjunto,"0,00",0,6,720,0,0,Testing de flujos completos
TESTING Y VALIDACIÓN,Performance Testing,Pruebas de rendimiento,1,conjunto,"0,00",0,4,480,0,0,Testing de performance
DEPLOYMENT,CI/CD Pipeline,Pipeline de despliegue automatizado,1,pipeline,"0,00",0,8,960,0,0,Configuración de GitHub Actions
DEPLOYMENT,Environment Setup,Configuración de entornos,1,configuración,"0,00",0,6,720,0,0,Setup de dev/staging/prod
DEPLOYMENT,Deployment Scripts,Scripts de despliegue,1,conjunto,"0,00",0,4,480,0,0,Automatización de despliegues
CAPACITACIÓN,User Training,Capacitación de usuarios finales,1,sesión,"0,00",0,8,960,0,0,Entrenamiento del equipo
CAPACITACIÓN,Admin Training,Capacitación de administradores,1,sesión,"0,00",0,6,720,0,0,Entrenamiento técnico
SOPORTE Y MANTENIMIENTO,Post-Implementation Support,Soporte post-implementación (1 mes),1,mes,"0,00",0,40,4800,0,0,Soporte técnico continuo
SOPORTE Y MANTENIMIENTO,Maintenance Plan,Plan de mantenimiento y actualizaciones,1,plan,"0,00",0,8,960,0,0,Plan de mantenimiento
SOPORTE Y MANTENIMIENTO,Performance Optimization,Optimización de performance,1,conjunto,"0,00",0,12,1440,0,0,Optimizaciones continuas
PROYECTO,Project Management,Gestión del proyecto completo,1,proyecto,"0,00",0,40,4800,0,0,Gestión y coordinación
PROYECTO,Quality Assurance,Control de calidad del proyecto,1,conjunto,"0,00",0,20,2400,0,0,QA y validaciones
PROYECTO,Risk Management,Gestión de riesgos y mitigaciones,1,conjunto,"0,00",0,8,960,0,0,Análisis y mitigación de riesgos
PROYECTO,Change Management,Gestión de cambios organizacionales,1,conjunto,"0,00",0,6,720,0,0,Gestión de cambios
PROYECTO,Knowledge Transfer,Transferencia de conocimiento,1,sesión,"0,00",0,8,960,0,0,Transferencia al equipo interno
,,,,,,,,,,,
Tatal Mensual AWS,Total Horas Implementación,Implementación one time,,,,,,,,,
"221,42 €","335,00 €","40.200,00 €",,,,,,,,,
